ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN2535100;0;2535100;;;;;;;SACHET PLASTIQUE ZIP 250 X 350 MM LOT DE 100 PR0602;;;;;;;;TECPLAST;2000;false;;;;;col;4190;;;;;;;;;
;EANfilm;0;film;;;;;;;ROULEAU FILM NOIR ETIRABLE CARTON;;https://images-na.ssl-images-amazon.com/images/I/512cBwufsEL._SL1500_.jpg;;;;;;VALMEMA;2000;false;;;;OK;COL;370;;;;;;;;;
;EAN26972315;0;26972315;;;;;;;RUBAN ADHESIF HAVANE 66M POUR LOT CARTON - RAPH66H;;;;;;;;VALMEMA;2000;false;;;;OK;CARTON;68;;;;;;;;;
;EANAR01980;0;AR01980;;;;;;;FILM ETIRABLE MANUEL 450MM OPAQUE NOIR;1320;;;;;;;VALMEMA;2000;false;;;;;COL;379;630;;;;;;;;
;EAN3701536301186;0;3701536301186;;;;;;;WEBER | COMPACT KETTLE BARBECUE CHARBON, Ø 47 CM, NOIR (1221004) + TABLIER NOIR, SANGLE AJUSTABLE + USTENSILES DE CUISINE;12000;https://www.everforhome.com/93291-medium_default/weber-compact-kettle-barbecue-charbon-o-47-cm-noir-1221004-tablier-noir-sangle-ajustable-ustensiles-de-cuisine-.jpg;;;;;;WEBER;2000;true;;;;;;655;;;;;;;;;
;EAN77924073939;0;77924073939;;;;;;;WEBER 7416 CHAMBRE D ALLUMAGE RAPIDFIRE;1800;https://thumbs.bfldr.com/at/q39wk8nr3rpfkzjqss5473n4?expiry=1656073145&fit=bounds&height=800&sig=ZWM2YWJhNjhiNDhlYzA1YjhhNGEzMzFkNTI1NjUxMmY1ZWMxNGFhZQ%3D%3D&width=1100;;;;;;WEBER;2000;false;305;200;320;;;;;B000WEOQV8;Jardin;2499;;7416;;;
;EAN3701536301193;0;3701536301193;;;;;;;WEBER - TABLIER NOIR, SANGLE AJUSTABLE + USTENSILES DE CUISINE - KIT 2 ACCESSOIRES EN ACIER INOXYDABLE + WEBER GANTS DE PROTECTION, NOIR;450;http://images.codeonline.fr/975235989/bc506de7-8587-437a-a62e-98737ef34829/image_1o0tE.jpg;;;;;;WEBER;2000;true;126;256;188;;;655;;;;;;;;;
;EAN077924075131;0;77924075131;;;;;;;WEBER COUVERCLE DE BARBECUE;;https://www.esprit-barbecue.fr/10623-large_default/couvercle-barbecue-weber-57cm.jpg;;;;;;WEBER;2000;false;;;;;col;;;;;;;;;;
;EAN077924063251;0;77924063251;;;;;;;WEBER CARTOUCHE DE GAZ, METAL;1003;https://images-na.ssl-images-amazon.com/images/I/51+noc-t87L.jpg;;;;;;WEBER;2000;false;140;110;110;OK;COL;;;B000S8GXUA;;;;;;;
;EAN077924032042;0;77924032042;;;;;;;WEBER HOUSSE POUR BARBECUE AVEC SAC DE TRANSPORT NOIR;;https://m.media-amazon.com/images/I/31G7LF9JgQL._AC_.jpg;;;;;;WEBER;2000;false;;;;OK;col;;;;;;;;;;
